QUANTITYORDERED,PRICEEACH,SALES,PRODUCTCODE,Classic Cars,Motorcycles,Planes,Ships,Trains,Trucks and Buses,Vintage Cars,Large,Medium,Small
44,100.0,5756.52,2,0,1,0,0,0,0,0,0,1,0
40,100.0,4472.0,2,0,1,0,0,0,0,0,0,1,0
22,100.0,2904.44,2,0,1,0,0,0,0,0,0,0,1
47,100.0,6484.59,2,0,1,0,0,0,0,0,0,1,0
39,96.34,3757.26,2,0,1,0,0,0,0,0,0,1,0
34,100.0,4043.96,2,0,1,0,0,0,0,0,0,1,0
45,100.0,5566.5,2,0,1,0,0,0,0,0,0,1,0
20,100.0,3176.0,2,0,1,0,0,0,0,0,0,1,0
40,68.92,2756.8,2,0,1,0,0,0,0,0,0,0,1
26,51.15,1329.9,2,0,1,0,0,0,0,0,0,0,1
39,100.0,5288.01,2,0,1,0,0,0,0,0,0,1,0
50,44.51,2225.5,2,0,1,0,0,0,0,0,0,0,1
45,100.0,5833.8,2,0,1,0,0,0,0,0,0,1,0
45,100.0,5887.35,2,0,1,0,0,0,0,0,0,1,0
27,100.0,6065.55,3,0,1,0,0,0,0,0,0,1,0
46,100.0,9264.86,3,0,1,0,0,0,0,0,1,0,0
31,100.0,7023.98,3,0,1,0,0,0,0,0,1,0,0
33,100.0,5176.38,3,0,1,0,0,0,0,0,0,1,0
22,100.0,4132.7,3,0,1,0,0,0,0,0,0,1,0
20,100.0,4183.0,3,0,1,0,0,0,0,0,0,1,0
41,100.0,8892.9,3,0,1,0,0,0,0,0,1,0,0
45,100.0,8714.7,3,0,1,0,0,0,0,0,1,0,0
49,100.0,8065.89,3,0,1,0,0,0,0,0,1,0,0
34,100.0,6123.4,3,0,1,0,0,0,0,0,0,1,0
49,100.0,9774.03,3,0,1,0,0,0,0,0,1,0,0
39,100.0,7023.9,3,0,1,0,0,0,0,0,1,0,0
43,100.0,7078.23,3,0,1,0,0,0,0,0,1,0,0
41,100.0,8336.94,3,0,1,0,0,0,0,0,1,0,0
36,100.0,6901.92,3,0,1,0,0,0,0,0,0,1,0
27,100.0,5438.07,3,0,1,0,0,0,0,0,0,1,0
29,100.0,6683.34,3,0,1,0,0,0,0,0,0,1,0
20,100.0,4570.4,3,0,1,0,0,0,0,0,0,1,0
37,100.0,7667.14,3,0,1,0,0,0,0,0,1,0,0
26,100.0,5868.2,3,0,1,0,0,0,0,0,0,1,0
39,76.67,2990.13,3,0,1,0,0,0,0,0,0,0,1
22,100.0,3664.1,3,0,1,0,0,0,0,0,0,1,0
22,100.0,3834.38,3,0,1,0,0,0,0,0,0,1,0
21,86.77,1822.17,3,0,1,0,0,0,0,0,0,0,1
66,100.0,11886.6,3,0,1,0,0,0,0,0,1,0,0
56,100.0,9218.16,3,0,1,0,0,0,0,0,1,0,0
50,100.0,7208.0,4,1,0,0,0,0,0,0,1,0,0
46,100.0,5004.8,4,1,0,0,0,0,0,0,0,1,0
33,100.0,4398.24,4,1,0,0,0,0,0,0,0,1,0
49,100.0,5597.76,4,1,0,0,0,0,0,0,0,1,0
32,100.0,4526.08,4,1,0,0,0,0,0,0,0,1,0
44,100.0,5924.16,4,1,0,0,0,0,0,0,0,1,0
24,100.0,3492.48,4,1,0,0,0,0,0,0,0,1,0
26,100.0,3854.24,4,1,0,0,0,0,0,0,0,1,0
45,100.0,5324.4,4,1,0,0,0,0,0,0,0,1,0
39,100.0,5197.92,4,1,0,0,0,0,0,0,0,1,0
49,100.0,5997.6,4,1,0,0,0,0,0,0,0,1,0
20,100.0,2910.4,4,1,0,0,0,0,0,0,0,0,1
27,100.0,3378.24,4,1,0,0,0,0,0,0,0,1,0
30,100.0,3508.8,4,1,0,0,0,0,0,0,0,1,0
25,100.0,2992.0,4,1,0,0,0,0,0,0,0,0,1
24,100.0,3427.2,4,1,0,0,0,0,0,0,0,1,0
22,100.0,2692.8,4,1,0,0,0,0,0,0,0,0,1
33,100.0,4128.96,4,1,0,0,0,0,0,0,0,1,0
47,64.93,3051.71,4,1,0,0,0,0,0,0,0,1,0
25,48.05,1201.25,4,1,0,0,0,0,0,0,0,0,1
26,75.47,1962.22,4,1,0,0,0,0,0,0,0,0,1
48,54.68,2624.64,4,1,0,0,0,0,0,0,0,0,1
39,100.0,4046.25,4,1,0,0,0,0,0,0,0,1,0
34,100.0,4846.7,4,1,0,0,0,0,0,0,0,1,0
32,100.0,3370.56,4,1,0,0,0,0,0,0,0,1,0
64,100.0,9661.44,4,1,0,0,0,0,0,0,1,0,0
19,100.0,2764.88,4,1,0,0,0,0,0,0,0,0,1
42,100.0,5398.26,5,1,0,0,0,0,0,0,0,1,0
31,100.0,4305.28,5,1,0,0,0,0,0,0,0,1,0
22,100.0,3347.74,5,1,0,0,0,0,0,0,0,1,0
26,100.0,3188.12,5,1,0,0,0,0,0,0,0,1,0
20,100.0,3191.2,5,1,0,0,0,0,0,0,0,1,0
21,100.0,3536.82,5,1,0,0,0,0,0,0,0,1,0
33,100.0,5362.83,5,1,0,0,0,0,0,0,0,1,0
28,100.0,3433.36,5,1,0,0,0,0,0,0,0,1,0
26,100.0,4263.74,5,1,0,0,0,0,0,0,0,1,0
31,100.0,4076.19,5,1,0,0,0,0,0,0,0,1,0
48,100.0,7020.48,5,1,0,0,0,0,0,0,1,0,0
50,100.0,6426.5,5,1,0,0,0,0,0,0,0,1,0
28,100.0,4591.72,5,1,0,0,0,0,0,0,0,1,0
26,100.0,4033.38,5,1,0,0,0,0,0,0,0,1,0
32,100.0,4302.08,5,1,0,0,0,0,0,0,0,1,0
44,100.0,7020.64,5,1,0,0,0,0,0,0,1,0,0
30,100.0,3855.9,5,1,0,0,0,0,0,0,0,1,0
38,100.0,6680.78,5,1,0,0,0,0,0,0,0,1,0
40,100.0,6678.0,5,1,0,0,0,0,0,0,0,1,0
46,61.99,2851.54,5,1,0,0,0,0,0,0,0,0,1
26,100.0,3188.12,5,1,0,0,0,0,0,0,0,1,0
27,100.0,4428.0,5,1,0,0,0,0,0,0,0,1,0
43,100.0,5780.92,5,1,0,0,0,0,0,0,0,1,0
35,65.63,2297.05,5,1,0,0,0,0,0,0,0,0,1
37,100.0,6231.54,5,1,0,0,0,0,0,0,0,1,0
37,46.9,1735.3,5,1,0,0,0,0,0,0,0,0,1
27,100.0,4427.73,5,1,0,0,0,0,0,0,0,1,0
38,100.0,5894.94,5,1,0,0,0,0,0,0,0,1,0
33,100.0,5265.15,6,1,0,0,0,0,0,0,0,1,0
42,100.0,7599.9,6,1,0,0,0,0,0,0,1,0,0
42,100.0,8008.56,6,1,0,0,0,0,0,0,1,0,0
48,100.0,9245.76,6,1,0,0,0,0,0,0,1,0,0
41,100.0,8296.35,6,1,0,0,0,0,0,0,1,0,0
30,100.0,5019.9,6,1,0,0,0,0,0,0,0,1,0
27,100.0,5411.07,6,1,0,0,0,0,0,0,0,1,0
21,100.0,3840.9,6,1,0,0,0,0,0,0,0,1,0
20,100.0,3930.4,6,1,0,0,0,0,0,0,0,1,0
41,100.0,7498.9,6,1,0,0,0,0,0,0,1,0,0
27,100.0,4517.91,6,1,0,0,0,0,0,0,0,1,0
28,100.0,5774.72,6,1,0,0,0,0,0,0,0,1,0
24,100.0,3922.56,6,1,0,0,0,0,0,0,0,1,0
44,100.0,9160.36,6,1,0,0,0,0,0,0,1,0,0
50,100.0,9631.0,6,1,0,0,0,0,0,0,1,0,0
21,100.0,3432.24,6,1,0,0,0,0,0,0,0,1,0
33,100.0,5521.89,6,1,0,0,0,0,0,0,0,1,0
33,100.0,6934.62,6,1,0,0,0,0,0,0,0,1,0
31,100.0,6876.11,6,1,0,0,0,0,0,0,0,1,0
41,71.47,2930.27,6,1,0,0,0,0,0,0,0,0,1
45,79.65,3584.25,6,1,0,0,0,0,0,0,0,1,0
33,85.39,2817.87,6,1,0,0,0,0,0,0,0,0,1
45,76.0,3420.0,6,1,0,0,0,0,0,0,0,1,0
26,99.04,2575.04,6,1,0,0,0,0,0,0,0,0,1
12,100.0,1961.28,6,1,0,0,0,0,0,0,0,0,1
41,100.0,8690.36,7,1,0,0,0,0,0,0,1,0,0
33,100.0,6034.38,7,1,0,0,0,0,0,0,0,1,0
46,100.0,11279.2,7,1,0,0,0,0,0,0,1,0,0
33,100.0,8023.29,7,1,0,0,0,0,0,0,1,0,0
20,100.0,4904.0,7,1,0,0,0,0,0,0,0,1,0
44,100.0,8594.52,7,1,0,0,0,0,0,0,1,0,0
33,100.0,7474.5,7,1,0,0,0,0,0,0,1,0,0
21,100.0,3883.74,7,1,0,0,0,0,0,0,0,1,0
47,100.0,8887.7,7,1,0,0,0,0,0,0,1,0,0
46,100.0,8602.92,7,1,0,0,0,0,0,0,1,0,0
32,100.0,7181.44,7,1,0,0,0,0,0,0,1,0,0
42,100.0,8378.58,7,1,0,0,0,0,0,0,1,0,0
44,100.0,10606.2,7,1,0,0,0,0,0,0,1,0,0
35,100.0,5818.4,7,1,0,0,0,0,0,0,0,1,0
41,100.0,7071.27,7,1,0,0,0,0,0,0,1,0,0
46,100.0,8411.56,7,1,0,0,0,0,0,0,1,0,0
31,100.0,6570.76,7,1,0,0,0,0,0,0,0,1,0
38,100.0,7975.44,7,1,0,0,0,0,0,0,1,0,0
42,64.0,2688.0,7,1,0,0,0,0,0,0,0,0,1
33,57.22,1888.26,7,1,0,0,0,0,0,0,0,0,1
48,52.36,2513.28,7,1,0,0,0,0,0,0,0,0,1
42,100.0,4764.48,7,1,0,0,0,0,0,0,0,1,0
32,100.0,3560.64,7,1,0,0,0,0,0,0,0,1,0
34,100.0,3823.64,7,1,0,0,0,0,0,0,0,1,0
33,69.12,2280.96,7,1,0,0,0,0,0,0,0,0,1
36,100.0,8677.8,7,1,0,0,0,0,0,0,1,0,0
27,100.0,3394.98,8,0,0,0,0,0,1,0,0,1,0
21,100.0,3415.44,8,0,0,0,0,0,1,0,0,1,0
21,100.0,2439.57,8,0,0,0,0,0,1,0,0,0,1
38,100.0,4829.8,8,0,0,0,0,0,1,0,0,1,0
30,100.0,4100.1,8,0,0,0,0,0,1,0,0,1,0
49,100.0,6563.06,8,0,0,0,0,0,1,0,0,1,0
43,100.0,6817.22,8,0,0,0,0,0,1,0,0,1,0
41,100.0,6163.94,8,0,0,0,0,0,1,0,0,1,0
38,100.0,4933.92,8,0,0,0,0,0,1,0,0,1,0
28,100.0,4056.36,8,0,0,0,0,0,1,0,0,1,0
43,100.0,5759.42,8,0,0,0,0,0,1,0,0,1,0
25,100.0,3451.0,8,0,0,0,0,0,1,0,0,1,0
38,100.0,5920.4,8,0,0,0,0,0,1,0,0,1,0
41,100.0,6668.24,8,0,0,0,0,0,1,0,0,1,0
28,100.0,4094.72,8,0,0,0,0,0,1,0,0,1,0
25,100.0,2938.5,8,0,0,0,0,0,1,0,0,0,1
41,100.0,6387.8,8,0,0,0,0,0,1,0,0,1,0
39,100.0,6396.0,8,0,0,0,0,0,1,0,0,1,0
21,100.0,2669.1,8,0,0,0,0,0,1,0,0,0,1
27,100.0,4784.13,8,0,0,0,0,0,1,0,0,1,0
33,99.21,3273.93,8,0,0,0,0,0,1,0,0,1,0
29,100.0,3586.43,8,0,0,0,0,0,1,0,0,1,0
49,100.0,5960.36,8,0,0,0,0,0,1,0,0,1,0
49,100.0,8470.14,8,0,0,0,0,0,1,0,1,0,0
20,100.0,2952.0,8,0,0,0,0,0,1,0,0,0,1
39,63.2,2464.8,8,0,0,0,0,0,1,0,0,0,1
40,100.0,6232.0,8,0,0,0,0,0,1,0,0,1,0
49,100.0,7969.36,8,0,0,0,0,0,1,0,1,0,0
21,100.0,3036.6,9,0,1,0,0,0,0,0,0,1,0
50,100.0,8284.0,9,0,1,0,0,0,0,0,1,0,0
20,100.0,2711.2,9,0,1,0,0,0,0,0,0,0,1
49,100.0,8339.8,9,0,1,0,0,0,0,0,1,0,0
38,100.0,6238.84,9,0,1,0,0,0,0,0,0,1,0
35,100.0,4639.25,9,0,1,0,0,0,0,0,0,1,0
40,100.0,6747.6,9,0,1,0,0,0,0,0,0,1,0
28,100.0,4512.48,9,0,1,0,0,0,0,0,0,1,0
25,100.0,4029.0,9,0,1,0,0,0,0,0,0,1,0
36,100.0,4771.8,9,0,1,0,0,0,0,0,0,1,0
43,100.0,6087.94,9,0,1,0,0,0,0,0,0,1,0
32,100.0,4193.28,9,0,1,0,0,0,0,0,0,1,0
46,100.0,7552.28,9,0,1,0,0,0,0,0,1,0,0
48,100.0,6434.4,9,0,1,0,0,0,0,0,0,1,0
43,100.0,5181.5,9,0,1,0,0,0,0,0,0,1,0
49,100.0,6863.92,9,0,1,0,0,0,0,0,0,1,0
24,100.0,4157.04,9,0,1,0,0,0,0,0,0,1,0
26,100.0,4660.24,9,0,1,0,0,0,0,0,0,1,0
30,100.0,4111.8,9,0,1,0,0,0,0,0,0,1,0
24,100.0,3542.64,9,0,1,0,0,0,0,0,0,1,0
55,100.0,8118.55,9,0,1,0,0,0,0,0,1,0,0
22,100.0,3877.06,9,0,1,0,0,0,0,0,0,1,0
49,78.92,3867.08,9,0,1,0,0,0,0,0,0,1,0
44,100.0,5951.44,9,0,1,0,0,0,0,0,0,1,0
66,100.0,8648.64,9,0,1,0,0,0,0,0,1,0,0
21,100.0,3447.78,9,0,1,0,0,0,0,0,0,1,0
34,100.0,5958.5,10,1,0,0,0,0,0,0,0,1,0
43,100.0,5911.64,10,1,0,0,0,0,0,0,0,1,0
46,100.0,7366.44,10,1,0,0,0,0,0,0,1,0,0
33,100.0,4985.64,10,1,0,0,0,0,0,0,0,1,0
42,100.0,5393.64,10,1,0,0,0,0,0,0,0,1,0
34,100.0,4880.02,10,1,0,0,0,0,0,0,0,1,0
47,100.0,8378.69,10,1,0,0,0,0,0,0,1,0,0
33,100.0,4038.21,10,1,0,0,0,0,0,0,0,1,0
24,100.0,3807.12,10,1,0,0,0,0,0,0,0,1,0
26,100.0,3142.36,10,1,0,0,0,0,0,0,0,1,0
30,100.0,4713.6,10,1,0,0,0,0,0,0,0,1,0
43,100.0,7016.31,10,1,0,0,0,0,0,0,1,0,0
25,100.0,4381.25,10,1,0,0,0,0,0,0,0,1,0
27,100.0,4283.01,10,1,0,0,0,0,0,0,0,1,0
27,100.0,4364.82,10,1,0,0,0,0,0,0,0,1,0
24,100.0,4242.24,10,1,0,0,0,0,0,0,0,1,0
34,100.0,4982.7,10,1,0,0,0,0,0,0,0,1,0
46,100.0,6393.54,10,1,0,0,0,0,0,0,0,1,0
27,54.33,1466.91,10,1,0,0,0,0,0,0,0,0,1
33,100.0,4059.33,10,1,0,0,0,0,0,0,0,1,0
47,100.0,4801.52,10,1,0,0,0,0,0,0,0,1,0
49,55.34,2711.66,10,1,0,0,0,0,0,0,0,0,1
40,100.0,5862.0,10,1,0,0,0,0,0,0,0,1,0
37,100.0,4071.85,10,1,0,0,0,0,0,0,0,1,0
47,100.0,8236.75,10,1,0,0,0,0,0,0,1,0,0
45,100.0,6130.35,11,1,0,0,0,0,0,0,0,1,0
37,99.82,3693.34,11,1,0,0,0,0,0,0,0,1,0
48,100.0,6031.68,11,1,0,0,0,0,0,0,0,1,0
31,100.0,3494.94,11,1,0,0,0,0,0,0,0,1,0
46,100.0,5294.14,11,1,0,0,0,0,0,0,0,1,0
47,100.0,5464.69,11,1,0,0,0,0,0,0,0,1,0
28,100.0,2860.76,11,1,0,0,0,0,0,0,0,0,1
40,100.0,5590.0,11,1,0,0,0,0,0,0,0,1,0
20,100.0,2254.8,11,1,0,0,0,0,0,0,0,0,1
39,100.0,4946.76,11,1,0,0,0,0,0,0,0,1,0
25,99.82,2495.5,11,1,0,0,0,0,0,0,0,0,1
29,100.0,3167.38,11,1,0,0,0,0,0,0,0,1,0
22,100.0,2402.84,11,1,0,0,0,0,0,0,0,0,1
22,100.0,2454.54,11,1,0,0,0,0,0,0,0,0,1
47,100.0,5464.69,11,1,0,0,0,0,0,0,0,1,0
45,100.0,4756.5,11,1,0,0,0,0,0,0,0,1,0
29,100.0,3984.6,11,1,0,0,0,0,0,0,0,1,0
24,100.0,3100.32,11,1,0,0,0,0,0,0,0,1,0
35,100.0,4850.3,11,1,0,0,0,0,0,0,0,1,0
46,83.63,3846.98,11,1,0,0,0,0,0,0,0,1,0
44,95.93,4220.92,11,1,0,0,0,0,0,0,0,1,0
34,96.73,3288.82,11,1,0,0,0,0,0,0,0,1,0
35,100.0,3987.2,11,1,0,0,0,0,0,0,0,1,0
25,72.38,1809.5,11,1,0,0,0,0,0,0,0,0,1
10,100.0,1092.2,11,1,0,0,0,0,0,0,0,0,1
29,100.0,4566.05,12,1,0,0,0,0,0,0,0,1,0
39,100.0,5938.14,12,1,0,0,0,0,0,0,0,1,0
42,100.0,8138.76,12,1,0,0,0,0,0,0,1,0,0
46,100.0,9470.94,12,1,0,0,0,0,0,0,1,0,0
49,100.0,7036.89,12,1,0,0,0,0,0,0,1,0,0
27,100.0,5559.03,12,1,0,0,0,0,0,0,0,1,0
50,100.0,7872.5,12,1,0,0,0,0,0,0,1,0,0
43,100.0,7886.2,12,1,0,0,0,0,0,0,1,0,0
38,100.0,7232.16,12,1,0,0,0,0,0,0,1,0,0
20,100.0,3114.4,12,1,0,0,0,0,0,0,0,1,0
27,100.0,5045.22,12,1,0,0,0,0,0,0,0,1,0
49,100.0,6952.12,12,1,0,0,0,0,0,0,0,1,0
27,100.0,4157.73,12,1,0,0,0,0,0,0,0,1,0
39,100.0,7962.24,12,1,0,0,0,0,0,0,1,0,0
24,100.0,3778.8,12,1,0,0,0,0,0,0,0,1,0
45,100.0,8253.0,12,1,0,0,0,0,0,0,1,0,0
20,100.0,3633.4,12,1,0,0,0,0,0,0,0,1,0
36,100.0,6913.8,12,1,0,0,0,0,0,0,0,1,0
24,100.0,2583.6,12,1,0,0,0,0,0,0,0,0,1
49,63.38,3105.62,12,1,0,0,0,0,0,0,0,1,0
26,100.0,4408.56,12,1,0,0,0,0,0,0,0,1,0
49,62.09,3042.41,12,1,0,0,0,0,0,0,0,1,0
34,100.0,5941.5,12,1,0,0,0,0,0,0,0,1,0
34,95.35,3241.9,12,1,0,0,0,0,0,0,0,1,0
33,100.0,6109.29,12,1,0,0,0,0,0,0,0,1,0
22,100.0,3387.78,12,1,0,0,0,0,0,0,0,1,0
39,89.38,3485.82,13,1,0,0,0,0,0,0,0,1,0
32,63.84,2042.88,13,1,0,0,0,0,0,0,0,0,1
24,75.01,1800.24,13,1,0,0,0,0,0,0,0,0,1
21,63.84,1340.64,13,1,0,0,0,0,0,0,0,0,1
24,73.42,1762.08,13,1,0,0,0,0,0,0,0,0,1
36,63.84,2298.24,13,1,0,0,0,0,0,0,0,0,1
20,81.4,1628.0,13,1,0,0,0,0,0,0,0,0,1
30,64.64,1939.2,13,1,0,0,0,0,0,0,0,0,1
44,82.99,3651.56,13,1,0,0,0,0,0,0,0,1,0
28,92.57,2591.96,13,1,0,0,0,0,0,0,0,0,1
37,77.41,2864.17,13,1,0,0,0,0,0,0,0,0,1
20,74.21,1484.2,13,1,0,0,0,0,0,0,0,0,1
25,90.17,2254.25,13,1,0,0,0,0,0,0,0,0,1
35,76.61,2681.35,13,1,0,0,0,0,0,0,0,0,1
38,83.79,3184.02,13,1,0,0,0,0,0,0,0,1,0
41,69.43,2846.63,13,1,0,0,0,0,0,0,0,0,1
22,76.61,1685.42,13,1,0,0,0,0,0,0,0,0,1
49,81.4,3988.6,13,1,0,0,0,0,0,0,0,1,0
38,73.42,2789.96,13,1,0,0,0,0,0,0,0,0,1
33,100.0,3607.56,13,1,0,0,0,0,0,0,0,1,0
36,93.56,3368.16,13,1,0,0,0,0,0,0,0,1,0
34,81.62,2775.08,13,1,0,0,0,0,0,0,0,0,1
24,67.83,1627.92,13,1,0,0,0,0,0,0,0,0,1
36,70.26,2529.36,13,1,0,0,0,0,0,0,0,0,1
34,90.17,3065.78,13,1,0,0,0,0,0,0,0,1,0
41,100.0,4615.78,14,0,0,0,0,0,1,0,0,1,0
46,100.0,5723.78,14,0,0,0,0,0,1,0,0,1,0
24,100.0,2559.6,14,0,0,0,0,0,1,0,0,0,1
21,100.0,2140.11,14,0,0,0,0,0,1,0,0,0,1
24,100.0,3327.6,14,0,0,0,0,0,1,0,0,1,0
48,100.0,6825.6,14,0,0,0,0,0,1,0,0,1,0
26,100.0,3543.28,14,0,0,0,0,0,1,0,0,1,0
37,100.0,4516.22,14,0,0,0,0,0,1,0,0,1,0
49,100.0,6445.46,14,0,0,0,0,0,1,0,0,1,0
34,99.54,3384.36,14,0,0,0,0,0,1,0,0,1,0
48,100.0,4891.68,14,0,0,0,0,0,1,0,0,1,0
36,100.0,4521.96,14,0,0,0,0,0,1,0,0,1,0
46,100.0,5069.66,14,0,0,0,0,0,1,0,0,1,0
46,100.0,6541.2,14,0,0,0,0,0,1,0,0,1,0
31,97.17,3012.27,14,0,0,0,0,0,1,0,0,1,0
41,100.0,5247.18,14,0,0,0,0,0,1,0,0,1,0
21,100.0,2214.87,14,0,0,0,0,0,1,0,0,0,1
38,100.0,4773.18,14,0,0,0,0,0,1,0,0,1,0
45,100.0,6185.7,14,0,0,0,0,0,1,0,0,1,0
26,58.38,1517.88,14,0,0,0,0,0,1,0,0,0,1
38,100.0,6372.6,14,0,0,0,0,0,1,0,0,1,0
48,100.0,5232.96,14,0,0,0,0,0,1,0,0,1,0
42,64.16,2694.72,14,0,0,0,0,0,1,0,0,0,1
49,35.71,1749.79,14,0,0,0,0,0,1,0,0,0,1
32,66.58,2130.56,14,0,0,0,0,0,1,0,0,0,1
54,100.0,5951.34,14,0,0,0,0,0,1,0,0,1,0
33,100.0,4692.6,14,0,0,0,0,0,1,0,0,1,0
36,100.0,3731.04,15,1,0,0,0,0,0,0,0,1,0
20,100.0,2142.0,15,1,0,0,0,0,0,0,0,0,1
29,97.89,2838.81,15,1,0,0,0,0,0,0,0,0,1
33,97.89,3230.37,15,1,0,0,0,0,0,0,0,1,0
50,100.0,5182.0,15,1,0,0,0,0,0,0,0,1,0
41,100.0,4391.1,15,1,0,0,0,0,0,0,0,1,0
36,100.0,4477.32,15,1,0,0,0,0,0,0,0,1,0
27,100.0,3544.56,15,1,0,0,0,0,0,0,0,1,0
47,100.0,5195.85,15,1,0,0,0,0,0,0,0,1,0
33,100.0,4180.44,15,1,0,0,0,0,0,0,0,1,0
21,100.0,2684.43,15,1,0,0,0,0,0,0,0,0,1
21,93.28,1958.88,15,1,0,0,0,0,0,0,0,0,1
41,100.0,4910.57,15,1,0,0,0,0,0,0,0,1,0
40,100.0,4468.4,15,1,0,0,0,0,0,0,0,1,0
28,100.0,3127.88,15,1,0,0,0,0,0,0,0,1,0
23,100.0,2675.13,15,1,0,0,0,0,0,0,0,0,1
23,100.0,2807.61,15,1,0,0,0,0,0,0,0,0,1
25,100.0,2504.75,15,1,0,0,0,0,0,0,0,0,1
24,100.0,2984.88,15,1,0,0,0,0,0,0,0,0,1
39,64.74,2524.86,15,1,0,0,0,0,0,0,0,0,1
55,75.2,4136.0,15,1,0,0,0,0,0,0,0,1,0
46,88.45,4068.7,15,1,0,0,0,0,0,0,0,1,0
50,100.0,5182.0,15,1,0,0,0,0,0,0,0,1,0
47,100.0,5243.79,15,1,0,0,0,0,0,0,0,1,0
97,93.28,9048.16,15,1,0,0,0,0,0,0,1,0,0
